criterion_number,criterion_title,conformance_level,disability_classes,pillar,ada_title_iii,section_508,eaa_article,eaa_annex,psbar_uk,equality_act_uk,rpwd_india_section,agimo_australia,aoda_canada,cvaa_usa,notes
1.3.3,Sensory Characteristics,A,"visual,auditory,cognitive",Perceivable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Instructions must not rely solely on shape, colour, size, visual location, or sound
1.3.4,Orientation,AA,"motor,visual",Perceivable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Added in WCAG 2.1; content must not lock to a single display orientation unless essential
1.3.5,Identify Input Purpose,AA,"cognitive,motor",Perceivable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Added in WCAG 2.1; purpose of input fields collecting personal data must be programmatically determinable
1.3.6,Identify Purpose,AAA,"cognitive,at_parsing",Perceivable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; purpose of UI components, icons, and regions must be programmatically determinable
1.4.1,Use of Colour,A,"visual,cognitive",Perceivable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Colour must not be used as the only visual means of conveying information
1.4.2,Audio Control,A,"auditory,cognitive",Perceivable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Mechanism to pause, stop, or control volume of audio that plays automatically for more than 3 seconds
1.4.3,Contrast (Minimum),AA,visual,Perceivable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Text and images of text must have contrast ratio of at least 4.5:1 (3:1 for large text)
1.4.4,Resize Text,AA,"visual,cognitive",Perceivable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Text must be resizable up to 200% without loss of content or functionality
1.4.5,Images of Text,AA,visual,Perceivable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Images of text must not be used where the same visual presentation can be achieved with actual text
1.4.6,Contrast (Enhanced),AAA,visual,Perceivable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; enhanced contrast ratio of at least 7:1 for text
1.4.7,Low or No Background Audio,AAA,auditory,Perceivable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; foreground speech not primarily in background noise
1.4.8,Visual Presentation,AAA,"visual,cognitive",Perceivable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; visual presentation of blocks of text has specific formatting requirements
1.4.9,Images of Text (No Exception),AAA,visual,Perceivable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; images of text only used for pure decoration
1.4.10,Reflow,AA,"visual,cognitive",Perceivable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Added in WCAG 2.1; content must reflow to single column at 320px without horizontal scrolling
1.4.11,Non-text Contrast,AA,"visual,motor",Perceivable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Added in WCAG 2.1; UI components and graphical objects must have 3:1 contrast against adjacent colours
1.4.12,Text Spacing,AA,"visual,cognitive",Perceivable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Added in WCAG 2.1; no loss of content when text spacing properties are overridden
1.4.13,Content on Hover or Focus,AA,"visual,motor,cognitive",Perceivable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Added in WCAG 2.1; additional content triggered by hover or focus must be dismissible, hoverable, and persistent
2.1.1,Keyboard,A,"motor,at_parsing",Operable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,All functionality must be operable through a keyboard interface without specific timing requirements
2.1.2,No Keyboard Trap,A,"motor,at_parsing",Operable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Keyboard focus must not be trapped in a component unless there is a standard method to exit
2.1.3,Keyboard (No Exception),AAA,"motor,at_parsing",Operable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; all functionality available from keyboard with no exceptions
2.1.4,Character Key Shortcuts,A,"motor,cognitive",Operable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Added in WCAG 2.1; single character key shortcuts must be remappable or disableable
2.2.1,Timing Adjustable,A,"cognitive,motor",Operable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Time limits must be adjustable, extendable, or turn-off-able with exceptions
2.2.2,"Pause, Stop, Hide",A,"cognitive,visual",Operable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,"Moving, blinking, scrolling, or auto-updating content must be pausable, stoppable, or hideable"
2.2.3,No Timing,AAA,cognitive,Operable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; no time limits except for real-time events
2.2.4,Interruptions,AAA,cognitive,Operable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; interruptions can be postponed or suppressed
2.2.5,Re-authenticating,AAA,cognitive,Operable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; data is preserved after re-authentication
2.2.6,Timeouts,AA,cognitive,Operable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Added in WCAG 2.2; users warned of duration of inactivity that causes data loss
2.3.1,Three Flashes or Below Threshold,A,"visual,cognitive",Operable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Pages must not contain content that flashes more than 3 times per second beyond threshold
2.3.2,Three Flashes,AAA,visual,Operable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; no content flashes more than 3 times per second under any circumstances
2.3.3,Animation from Interactions,AAA,cognitive,Operable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; motion animation triggered by interaction can be disabled
2.4.1,Bypass Blocks,A,"motor,at_parsing,cognitive",Operable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Mechanism to bypass blocks of content repeated on multiple pages; typically a skip-nav link
2.4.2,Page Titled,A,"cognitive,at_parsing",Operable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Web pages must have titles that describe topic or purpose
2.4.3,Focus Order,A,"motor,at_parsing,cognitive",Operable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,If focus order affects meaning or operation, components must receive focus in order that preserves meaning
2.4.4,Link Purpose (In Context),A,"cognitive,at_parsing,visual",Operable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Purpose of each link determinable from link text or context
2.4.5,Multiple Ways,AA,"cognitive,at_parsing",Operable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,More than one way to locate a page within a set of pages except where it is the result of a process
2.4.6,Headings and Labels,AA,"cognitive,at_parsing,visual",Operable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Headings and labels describe topic or purpose
2.4.7,Focus Visible,AA,"motor,visual",Operable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Keyboard focus indicator must be visible
2.4.8,Location,AAA,cognitive,Operable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; information about user's location within a set of pages is available
2.4.9,Link Purpose (Link Only),AAA,"cognitive,at_parsing",Operable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; purpose of each link identifiable from link text alone
2.4.10,Section Headings,AAA,"cognitive,at_parsing",Operable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; section headings used to organise content
2.4.11,Focus Not Obscured (Minimum),AA,"motor,visual",Operable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Added in WCAG 2.2; focused component not entirely hidden by author-created content
2.4.12,Focus Not Obscured (Enhanced),AAA,"motor,visual",Operable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,Added in WCAG 2.2; AAA version — focused component fully visible
2.4.13,Focus Appearance,AA,"motor,visual",Operable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Added in WCAG 2.2; focus indicator has minimum area and contrast ratio requirements
2.5.1,Pointer Gestures,A,"motor,cognitive",Operable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Added in WCAG 2.1; all functionality using multipoint or path-based gestures has single pointer alternative
2.5.2,Pointer Cancellation,A,motor,Operable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Added in WCAG 2.1; single pointer functionality can be cancelled using up-event or abort/undo
2.5.3,Label in Name,A,"cognitive,at_parsing",Operable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Added in WCAG 2.1; accessible name of component contains visible text label
2.5.4,Motion Actuation,A,motor,Operable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Added in WCAG 2.1; functionality operated by device motion has alternative and can be disabled
2.5.5,Target Size (Enhanced),AAA,motor,Operable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,Added in WCAG 2.1; AAA level — target size at least 44x44 CSS pixels
2.5.6,Concurrent Input Mechanisms,AAA,motor,Operable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,Added in WCAG 2.1; AAA only; web content does not restrict use of input modalities
2.5.7,Dragging Movements,AA,motor,Operable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Added in WCAG 2.2; all functionality using dragging has a single pointer alternative
2.5.8,Target Size (Minimum),AA,motor,Operable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Added in WCAG 2.2; target size at least 24x24 CSS pixels (key new criterion for mobile)
3.1.1,Language of Page,A,"cognitive,at_parsing",Understandable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Default human language of page must be programmatically determinable
3.1.2,Language of Parts,AA,"cognitive,at_parsing",Understandable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Human language of each passage or phrase can be programmatically determined
3.1.3,Unusual Words,AAA,cognitive,Understandable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; mechanism available to identify specific definitions of unusual words
3.1.4,Abbreviations,AAA,cognitive,Understandable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; mechanism available to identify expanded form or meaning of abbreviations
3.1.5,Reading Level,AAA,cognitive,Understandable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; supplemental content available when text requires more than lower secondary reading level
3.1.6,Pronunciation,AAA,cognitive,Understandable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; mechanism available to identify pronunciation where meaning is ambiguous without pronunciation
3.2.1,On Focus,A,"cognitive,motor",Understandable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Receiving focus does not automatically change context
3.2.2,On Input,A,"cognitive,motor",Understandable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Changing a setting does not automatically change context unless user is advised beforehand
3.2.3,Consistent Navigation,AA,"cognitive,at_parsing",Understandable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Navigation mechanisms repeated on multiple pages occur in same relative order
3.2.4,Consistent Identification,AA,"cognitive,at_parsing",Understandable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Components with same functionality identified consistently throughout pages
3.2.5,Change on Request,AAA,cognitive,Understandable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; changes of context initiated only by user request
3.2.6,Consistent Help,A,"cognitive,at_parsing",Understandable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Added in WCAG 2.2; help mechanisms appear in consistent location across pages
3.3.1,Error Identification,A,"cognitive,visual",Understandable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Input errors automatically detected and item described to user in text
3.3.2,Labels or Instructions,A,"cognitive,motor",Understandable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Labels or instructions provided when content requires user input
3.3.3,Error Suggestion,AA,"cognitive,visual",Understandable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,If input error detected and suggestions are known, suggestions provided to user
3.3.4,"Error Prevention (Legal, Financial, Data)",AA,cognitive,Understandable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,"For legal or financial transactions, submissions are reversible, checked, or confirmable"
3.3.5,Help,AAA,cognitive,Understandable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; context-sensitive help is available
3.3.6,Error Prevention (All),AAA,cognitive,Understandable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; for any submission, reversible, checked, or confirmable
3.3.7,Redundant Entry,A,"cognitive,motor",Understandable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Added in WCAG 2.2; information already entered does not need to be re-entered in same process
3.3.8,Accessible Authentication (Minimum),AA,cognitive,Understandable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Added in WCAG 2.2; cognitive function test not required for authentication unless alternative provided
3.3.9,Accessible Authentication (Enhanced),AAA,cognitive,Understandable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,Added in WCAG 2.2; AAA version — no cognitive function test required for authentication
4.1.1,Parsing,A,"at_parsing,visual",Robust,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,HTML must have complete start/end tags, no duplicate attributes, nested properly (note: deprecated in WCAG 2.2 but retained for 2.1 coverage)
4.1.2,Name Role Value,A,"at_parsing,visual,motor",Robust,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,For all UI components, name and role can be programmatically determined; states, properties, notifications set programmatically
4.1.3,Status Messages,AA,"at_parsing,cognitive,visual",Robust,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Added in WCAG 2.1; status messages can be programmatically determined through role or property so AT can present without focus
